x,y
1463870460,3500
1463870580,4300
1463870640,4300
1463870700,4300
1463870760,4300
1463870880,4300
1463870940,4300
1463871000,4300
1463871060,4300
1463871180,4300
1463871240,4200
1463871300,4300
1463871360,4300
1463871420,4300
1463871540,4300
1463871600,4300
1463871660,4300
1463871720,4300
1463871840,4400
1463871900,4300
1463871960,4300
1463872020,4300
1463872140,4300
1463872200,4300
1463872260,4300
1463872320,4300
1463872440,4300
1463872500,4300
1463872560,4300
1463872620,4300
1463872740,4300
1463872800,4300
1463872860,4300
1463872920,4300
1463873040,4300
1463873100,4300
1463873160,4300
1463873220,4300
1463873280,4300
1463873400,4300
1463873460,4300
1463873520,4300
1463873580,4300
1463873700,4300
1463873760,4300
1463873820,4300
1463873880,4300
1463874000,4300
1463874060,4300
1463874120,4300
1463874180,4300
1463874300,4300
1463874360,4300
1463874420,4300
1463874480,4300
1463874600,4300
1463874660,4300
1463874720,4300
1463874780,4300
1463874900,4300
1463874960,4300
1463875020,4300
1463875080,4300
1463875140,4300
1463875260,4300
1463875320,4300
1463875380,4300
1463875440,4300
1463875560,4300
1463875620,4300
1463875680,4300
1463875740,4300
1463875860,4300
1463875920,4300
1463875980,4300
1463876040,4300
1463876160,4300
1463876220,4300
1463876280,4300
1463876340,4300
1463876460,4300
1463876520,4300
1463876580,4300
1463876640,4300
1463876700,4300
1463876820,4300
1463876880,4300
1463876940,4300
1463877000,4300
1463877120,4300
1463877180,4300
1463877240,4400
1463877300,4400
1463877420,4300
1463877480,4400
1463877540,4400
1463877600,4400
1463877720,4400
1463877780,4400
1463877840,4400
1463877900,4300
1463878020,4400
1463878080,4400
1463878140,4400
1463878200,4400
1463878320,4400
1463878380,4400
1463878440,4400
1463878500,4400
1463878560,4400
1463878680,4400
1463878740,4400
1463878800,4400
1463878860,4400
1463878980,4400
1463879040,4400
1463879100,4400
1463879160,4400
1463879280,4400
1463879340,4400
1463879400,4400
1463879460,4400
1463879580,4400
1463879640,4400
1463879700,4400
1463879760,4400
1463879880,4400
1463879940,4400
1463880000,4400
1463880060,4400
1463880120,4400
1463880240,4400
1463880300,4400
1463880360,4400
1463880420,4400
1463880540,4400
1463880600,4400
1463880660,4400
1463880720,4400
1463880840,4400
1463880900,4400
1463880960,4400
1463881020,4400
1463881140,4400
1463881200,4400
1463881260,4500
1463881320,4500
1463881440,4500
1463881500,4500
1463881560,4500
1463881620,4500
1463881740,4500
1463881800,4500
1463881860,4500
1463881920,4500
1463881980,4500
1463882100,4500
1463882160,4500
1463882220,4500
1463882280,4500
1463882400,4500
1463882460,4500
1463882520,4500
1463882580,4500
1463882700,4500
1463882760,4500
1463882820,4500
1463882880,4500
1463883000,4500
1463883060,4500
1463883120,4500
1463883180,4500
1463883300,4500
1463883360,4500
1463883420,4500
1463883480,4500
1463883540,4500
1463883660,4500
1463883720,4500
1463883780,4500
1463883840,4500
1463883960,4500
1463884020,4500
1463884080,4500
1463884140,4500
1463884260,4500
1463884320,4500
1463884380,4500
1463884440,4500
1463884560,4500
1463884620,4500
1463884680,4500
1463884740,4500
1463884860,4500
1463884920,4500
1463884980,4500
1463885040,4500
1463885160,4500
1463885220,4500
1463885280,4500
1463885340,4500
1463885400,4600
1463885520,4500
1463885580,4500
1463885640,4500
1463885700,4500
1463885820,4500
1463885880,4500
1463885940,4600
1463886000,4500
1463886120,4500
1463886180,4500
1463886240,4500
1463886300,4600
1463886420,4500
1463886480,4600
1463886540,4600
1463886600,4600
1463886720,4600
1463886780,4600
1463886840,4600
1463886900,4600
1463887020,4600
1463887080,4600
1463887140,4600
1463887200,4600
1463887260,4600
1463887380,4600
1463887440,4600
1463887500,4600
1463887560,4600
1463887680,4600
1463887740,4600
1463887800,4600
1463887860,4600
1463887980,4600
1463888040,4600
1463888100,4600
1463888160,4600
1463888280,4600
1463888340,4600
1463888400,4600
1463888460,4600
1463888580,4600
1463888640,4600
1463888700,4600
1463888760,4600
1463888820,4600
1463888940,4600
1463889000,4600
1463889060,4600
1463889120,4600
1463889240,4600
1463889300,4600
1463889360,4600
1463889420,4600
1463889540,4600
1463889600,4600
1463889660,4600
1463889720,4600
1463889840,4600
1463889900,4600
1463889960,4600
1463890020,4600
1463890140,4600
1463890200,4600
1463890260,4600
1463890320,4600
1463890440,4600
1463890500,4600
1463890560,4600
1463890620,4600
1463890680,4600
1463890800,4600
1463890860,4600
1463890920,4600
1463890980,4600
1463891100,4600
1463891160,4600
1463891220,4600
1463891280,4600
1463891400,4600
1463891460,4600
1463891520,4600
1463891580,4600
1463891700,4600
1463891760,4600
1463891820,4600
1463891880,4600
1463892000,4600
1463892060,4600
1463892120,4600
1463892180,4600
1463892240,4600
1463892360,4600
1463892420,4600
1463892480,4600
1463892540,4600
1463892660,4600
1463892720,4600
1463892780,4600
1463892840,4600
1463892960,4600
1463893020,4600
1463893080,4600
1463893140,4700
1463893260,4700
1463893320,4700
1463893380,4700
1463893440,4700
1463893560,4700
1463893620,4700
1463893680,4700
1463893740,4700
1463893860,4800
1463893920,4700
1463893980,4800
1463894040,4700
1463894100,4700
1463894220,4700
1463894280,4800
1463894340,4800
1463894400,4800
1463894520,4800
1463894580,4800
1463894640,4800
1463894700,4800
1463894820,4800
1463894880,4800
1463894940,4800
1463895000,4800
1463895120,4800
1463895180,4800
1463895240,4800
1463895300,4800
1463895420,4800
1463895480,4800
1463895540,4800
1463895600,4800
1463895720,4800
1463895780,4800
1463895840,4800
1463895900,4800
1463895960,4800
1463896080,4800
1463896140,4800
1463896200,4800
1463896260,4800
1463896380,4800
1463896440,4800
1463896500,4800
1463896560,4800
1463896680,4800
1463896740,4800
1463896800,4800
1463896860,4800
1463896980,4800
1463897040,4800
1463897100,4800
1463897160,4800
1463897280,4800
1463897340,4800
1463897400,4800
1463897460,4800
1463897520,4800
1463897640,4800
1463897700,4800
1463897760,4800
1463897820,4800
1463897940,4800
1463898000,4800
1463898060,4800
1463898120,4800
1463898240,4800
1463898300,4800
1463898360,4800
1463898420,4800
1463898540,4800
1463898600,4800
1463898660,4800
1463898720,4800
1463898840,4800
1463898900,4800
1463898960,4800
1463899020,4800
1463899140,4800
1463899200,4800
1463899260,4800
1463899320,4800
1463899380,4800
1463899500,4800
1463899560,4800
1463899620,4800
1463899680,4800
1463899800,4800
1463899860,4800
1463899920,4800
1463899980,4800
1463900100,4800
1463900160,4800
1463900220,4800
1463900280,4800
1463900400,4800
1463900460,4800
1463900520,4800
1463900580,4800
1463900700,4800
1463900760,4800
1463900820,4800
1463900880,4800
1463900940,4800
1463901060,4800
1463901120,4800
1463901180,4800
1463901240,4800
1463901360,4800
1463901420,4800
1463901480,4800
1463901540,4800
1463901660,4800
1463901720,4800
1463901780,4800
1463901840,4800
1463901960,4800
1463902020,4700
1463902080,4700
1463902140,4700
1463902260,4700
1463902320,4700
1463902380,4700
1463902440,4700
1463902560,4700
1463902620,4700
1463902680,4700
1463902740,4700
1463902800,4700
1463902920,4700
1463902980,4700
1463903040,4700
1463903100,4700
1463903220,4700
1463903280,4700
1463903340,4700
1463903400,4700
1463903520,4700
1463903580,4700
1463903640,4700
1463903700,4700
1463903820,4700
1463903880,4700
1463903940,4700
1463904000,4700
1463904120,4700
1463904180,4700
1463904240,4700
1463904300,4700
1463904360,4700
1463904480,4700
1463904540,4700
1463904600,4700
1463904660,4700
1463904780,4700
1463904840,4700
1463904900,4700
1463904960,4700
1463905080,4700
1463905140,4700
1463905200,4700
1463905260,4700
1463905380,4700
1463905440,4600
1463905500,4600
1463905560,4600
1463905680,4600
1463905740,4600
1463905800,4600
1463905860,4600
1463905980,4600
1463906040,4600
1463906100,4600
1463906160,4600
1463906220,4600
1463906340,4600
1463906400,4500
1463906460,4500
1463906520,4500
1463906640,4500
1463906700,4500
1463906760,4500
1463906820,4500
1463906940,4500
1463907000,4500
1463907060,4500
1463907120,4500
1463907240,4500
1463907300,4500
1463907360,4500
1463907420,4500
1463907540,4500
1463907600,4500
1463907660,4500
1463907720,4500
1463907840,4500
1463907900,4500
1463907960,4500
1463908020,4500
1463908080,4500
1463908200,4500
1463908260,4500
1463908320,4500
1463908380,4500
1463908500,4500
1463908560,4500
1463908620,4500
1463908680,4500
1463908800,4500
1463908860,4500
1463908920,4500
1463908980,4500
1463909100,4500
1463909160,4500
1463909220,4500
1463909280,4500
1463909400,4500
1463909460,4500
1463909520,4500
1463909580,4500
1463909640,4500
1463909760,4500
1463909820,4500
1463909880,4500
1463909940,4500
1463910060,4500
1463910120,4500
1463910180,4500
1463910240,4500
1463910360,4500
1463910420,4500
1463910480,4500
1463910540,4500
1463910660,4500
1463910720,4500
1463910780,4500
1463910840,4500
1463910960,4500
1463911020,4500
1463911080,4500
1463911140,4500
1463911260,4500
1463911320,4500
1463911380,4500
1463911440,4500
1463911500,4500
1463911620,4500
1463911680,4500
1463911740,4500
1463911800,4500
1463911920,4500
1463911980,4500
1463912040,4500
1463912100,4500
1463912220,4500
1463912280,4400
1463912340,4400
1463912400,4400
1463912520,4400
1463912580,4500
1463912640,4500
1463912700,4500
