x,y
1463870460,2547
1463870580,2554
1463870640,2561
1463870700,2569
1463870760,2574
1463870880,2579
1463870940,2581
1463871000,2576
1463871060,2566
1463871120,2555
1463871240,2541
1463871300,2531
1463871360,2521
1463871420,2511
1463871540,2502
1463871600,2496
1463871660,2490
1463871720,2483
1463871840,2478
1463871900,2474
1463871960,2470
1463872020,2468
1463872140,2465
1463872200,2463
1463872260,2459
1463872320,2454
1463872440,2452
1463872500,2448
1463872560,2443
1463872620,2438
1463872680,2438
1463872800,2434
1463872860,2432
1463872920,2432
1463872980,2430
1463873100,2429
1463873160,2426
1463873220,2422
1463873280,2422
1463873400,2418
1463873460,2417
1463873520,2416
1463873580,2417
1463873700,2415
1463873760,2413
1463873820,2411
1463873880,2410
1463874000,2409
1463874060,2407
1463874120,2404
1463874180,2402
1463874300,2401
1463874360,2401
1463874420,2399
1463874480,2395
1463874540,2388
1463874660,2383
1463874720,2380
1463874780,2376
1463874840,2375
1463874960,2375
1463875020,2369
1463875080,2368
1463875140,2366
1463875260,2364
1463875320,2363
1463875380,2363
1463875440,2362
1463875560,2357
1463875620,2352
1463875680,2344
1463875740,2342
1463875860,2338
1463875920,2332
1463875980,2332
1463876040,2329
1463876100,2326
1463876220,2327
1463876280,2328
1463876340,2330
1463876400,2329
1463876520,2329
1463876580,2331
1463876640,2329
1463876700,2326
1463876820,2321
1463876880,2319
1463876940,2319
1463877000,2315
1463877120,2313
1463877180,2309
1463877240,2307
1463877300,2305
1463877420,2302
1463877480,2304
1463877540,2304
1463877600,2307
1463877720,2304
1463877780,2302
1463877840,2299
1463877900,2296
1463877960,2296
1463878080,2292
1463878140,2289
1463878200,2287
1463878260,2285
1463878380,2285
1463878440,2283
1463878500,2285
1463878560,2287
1463878680,2289
1463878740,2292
1463878800,2297
1463878860,2297
1463878980,2296
1463879040,2296
1463879100,2297
1463879160,2300
1463879280,2296
1463879340,2292
1463879400,2292
1463879460,2290
1463879580,2287
1463879640,2285
1463879700,2283
1463879760,2276
1463879820,2272
1463879940,2270
1463880000,2271
