x,y
1456833660,23
1456833720,32
1456833780,21
1456833840,27
1456833900,11
1456833960,11
1456834020,22
1456834080,26
1456834140,11
1456834200,17
1456834260,12
1456834320,13
1456834380,10
1456834440,27
1456834500,35
1456834560,24
1456834620,32
1456834680,20
1456834740,20
1456834800,34
1456834860,17
1456834920,18
1456834980,13
1456835040,13
1456835100,26
1456835160,28
1456835220,12
1456835280,13
1456835340,33
1456835400,27
1456835460,19
1456835520,22
1456835580,24
1456835640,32
1456835700,15
1456835760,27
1456835820,33
1456835880,28
1456835940,19
1456836000,34
1456836060,11
1456836120,21
1456836180,13
1456836240,11
1456836300,14
1456836360,15
1456836420,28
1456836480,10
1456836540,27
1456836600,12
1456836660,11
1456836720,34
1456836780,23
1456836840,14
1456836900,12
1456836960,13
1456837020,34
1456837080,16
1456837140,16
1456837200,33
1456837260,33
1456837320,25
1456837380,20
1456837440,21
1456837500,24
1456837560,27
1456837620,14
1456837680,21
1456837740,21
1456837800,23
1456837860,22
1456837920,25
1456837980,10
1456838040,25
1456838100,26
1456838160,15
1456838220,32
1456838280,20
1456838340,17
1456838400,24
1456838460,25
1456838520,20
1456838580,22
1456838640,12
1456838700,24
1456838760,26
1456838820,17
1456838880,23
1456838940,32
1456839000,23
1456839060,20
1456839120,30
1456839180,14
1456839240,32
1456839300,17
1456839360,28
1456839420,26
1456839480,22
1456839540,16
1456839600,11
1456839660,11
1456839720,30
1456839780,26
1456839840,12
1456839900,21
1456839960,19
1456840020,19
1456840080,18
1456840140,31
1456840200,28
1456840260,32
1456840320,22
1456840380,13
1456840440,20
1456840500,26
1456840560,29
1456840620,11
1456840680,33
1456840740,18
1456840800,33
1456840860,22
1456840920,31
1456840980,29
1456841040,27
1456841100,27
1456841160,11
1456841220,21
1456841280,19
1456841340,25
1456841400,29
1456841460,23
1456841520,28
1456841580,23
1456841640,15
1456841700,32
1456841760,35
1456841820,26
1456841880,15
1456841940,19
1456842000,22
1456842060,10
1456842120,15
1456842180,10
1456842240,13
1456842300,27
1456842360,27
1456842420,32
1456842480,28
1456842540,24
1456842600,15
1456842660,28
1456842720,11
1456842780,12
1456842840,23
1456842900,30
1456842960,31
1456843020,26
1456843080,17
1456843140,15
1456843200,15
1456843260,11
1456843320,28
1456843380,10
1456843440,26
1456843500,33
1456843560,32
1456843620,25
1456843680,26
1456843740,12
1456843800,10
1456843860,12
1456843920,14
1456843980,17
1456844040,12
1456844100,17
1456844160,35
1456844220,31
1456844280,15
1456844340,27
1456844400,20
1456844460,22
1456844520,21
1456844580,23
1456844640,24
1456844700,35
1456844760,19
1456844820,20
1456844880,25
1456844940,26
1456845000,25
1456845060,33
1456845120,27
1456845180,19
1456845240,33
1456845300,20
1456845360,18
1456845420,29
1456845480,35
1456845540,34
1456845600,33
1456845660,10
1456845720,12
1456845780,11
1456845840,17
1456845900,17
1456845960,20
1456846020,18
1456846080,12
1456846140,26
1456846200,12
1456846260,24
1456846320,14
1456846380,23
1456846440,13
1456846500,29
1456846560,24
1456846620,22
1456846680,15
1456846740,16
1456846800,13
1456846860,32
1456846920,13
1456846980,32
1456847040,15
1456847100,12
1456847160,16
1456847220,25
1456847280,33
1456847340,18
1456847400,26
1456847460,31
1456847520,20
1456847580,30
1456847640,34
1456847700,29
1456847760,13
1456847820,21
1456847880,12
1456847940,16
1456848000,13
1456848060,14
1456848120,32
1456848180,17
1456848240,29
1456848300,10
1456848360,12
1456848420,18
1456848480,24
1456848540,17
1456848600,24
1456848660,27
1456848720,13
1456848780,29
1456848840,26
1456848900,20
1456848960,31
1456849020,32
1456849080,12
1456849140,28
1456849200,16
1456849260,28
1456849320,25
1456849380,26
1456849440,24
1456849500,26
1456849560,22
1456849620,28
1456849680,11
1456849740,24
1456849800,10
1456849860,16
1456849920,30
1456849980,32
1456850040,23
1456850100,23
1456850160,34
1456850220,26
1456850280,33
1456850340,23
1456850400,35
1456850460,21
1456850520,16
1456850580,13
1456850640,16
1456850700,32
1456850760,25
1456850820,11
1456850880,29
1456850940,27
1456851000,32
1456851060,11
1456851120,21
1456851180,23
1456851240,28
1456851300,10
1456851360,13
1456851420,14
1456851480,30
1456851540,16
1456851600,30
1456851660,30
1456851720,22
1456851780,24
1456851840,26
1456851900,12
1456851960,13
1456852020,27
1456852080,30
1456852140,11
1456852200,14
1456852260,29
1456852320,24
1456852380,20
1456852440,34
1456852500,33
1456852560,17
1456852620,24
1456852680,10
1456852740,12
1456852800,17
1456852860,32
